Year,Type,Fund_Name,Assets,Liabilities,County
2016,fire,Rockford Firefighters Pension Fund,163256141.6,321472924.5,Winnebago
2016,fire,Rolling Meadows Firefighters Pension Fund,29966850.29,66961763.88,Cook
2016,fire,Romeoville Firefighters Pension Fund,8178536.79,8709597.13,Will
2016,fire,Roselle Firefighters Pension Fund,6776311.66,9805005.29,Cook
2016,fire,Rutland/Dundee Twps FPD Firefighter'S Pension Fund,3328719.46,4329856.37,LaSalle
2016,fire,Salem FPD Firefighters Pension Fund,2158119.53,2902459.23,Marion
2016,fire,Sauk Village Firefighters Pension Fund,115992.92,1014169.69,Cook
2016,fire,Savanna Firefighters Pension Fund,1285072.49,2612144.67,Carroll
2016,fire,Schaumburg Firefighters Pension Fund,109958141.8,166143623.3,Cook
2016,fire,Schiller Park Firefighters Pension Fund,12881281.52,24054737.66,Cook
2016,fire,Shelbyville FPD Firefighters Pension Fund,954081.33,2141109.77,Shelby
2016,fire,Signal Hill FPD Firefighters Pension Fund,670739.84,805628.21,St. Clair
2016,fire,Silvis Firefighters Pension Fund,449735.68,737164.42,Rock Island
2016,fire,Skokie Firefighters Pension Fund,73265479.22,147600405.1,Cook
2016,fire,South Beloit Firefighters Pension Fund,1489364.39,2936551.23,Winnebago
2016,fire,South Chicago Heights Firefighters Pension Fund,26423.24,339222.39,Cook
2016,fire,South Elgin/Countryside FPD Firefighters Pension F,11317952.74,16943811.01,Kane
2016,fire,South Holland Firefighters Pension Fund,13169842.18,16945632.82,Cook
2016,fire,Springfield Firefighter'S Pension Fund,121641358.6,267891376.6,Sangamon
2016,fire,St Charles Firefighters Pension Fund,36038643.13,47352255.67,DuPage
2016,fire,Sterling Firefighters Pension Fund,12051305.45,22114178.75,Whiteside
2016,fire,Stillman FPD Pension Fund,262883.32,355638.33,Williamson
2016,fire,Streamwood Firefighters Pension Fund,37027349.09,46825674.39,Cook
2016,fire,Streator Firefighters Pension Fund,5320960.19,13447051.56,LaSalle
2016,fire,Sugar Grove FPD Firefighter'S Pension Fund,3221221.14,4192378.35,Kane
2016,fire,Sullivan FPD Firefighters Pension Fund,3703109.13,6521691.88,Moultrie
2016,fire,Swansea Firefighters Pension Fund,651046.04,1220211.88,St. Clair
2016,fire,Sycamore Firefighters Pension Fund,13131284.13,21359584.75,DeKalb
2016,fire,Taylorville Firefighters Pension Fund,5754878.04,8912250.79,Christian
2016,fire,Tri-State FPD Firefighters Pension Fund,33045416.39,46342806.11,DuPage
2016,fire,Tri-Township FPD Firefighters Pension Fund,2225591.76,6298892.96,Adams
2016,fire,Troy FPD Firefighters Pension Fund,1104490.09,1828806.49,Madison
2016,fire,University Park Firefighters Pension Fund,6407181.91,10670743.5,Cook
2016,fire,Urbana Firefighters Pension Fund,43358792.84,49556206.78,Champaign
2016,fire,Villa Park Firefighters Pension Fund,15961188.6,25279774.81,DuPage
2016,fire,Warrenville FPD Firefighters Pension Fund,3993912.21,5671519.44,DuPage
2016,fire,Wauconda FPD Firefighter'S Pension Fund,20754234.06,38414094.22,Lake
2016,fire,Waukegan Firefighters Pension Fund,63098055.63,127082664,Lake
2016,fire,West Chicago FPD Firefighters Pension Fund,30936558.04,33667023.99,DuPage
2016,fire,West Dundee Firefighters Pension Fund,6538990.61,9426218.94,Kane
2016,fire,West Frankfort Firefighters Pension Fund,4800440,9249758,Franklin
2016,fire,Westchester Firefighters Pension Fund,22101442.85,32968137.41,Cook
2016,fire,Western Springs Firefighters Pension Fund,306001.18,276152.91,Cook
2016,fire,Westmont Firefighters' Pension Fund,56455.75,91400.95,DuPage
2016,fire,Wheaton Firefighters Pension Fund,28824868.46,39232277.29,DuPage
2016,fire,Wheeling Firefighters Pension Fund,36451585.6,64184831.13,Cook
2016,fire,Williamson County Firefighters Pension Fund,933136.78,646947.62,Williamson
2016,fire,Willow Springs Firefighters Pension Fund,265486.38,539026.16,Will
2016,fire,Wilmette Firefighters Pension Fund,44669362.11,69778291.48,Cook
2016,fire,Wilmington FPD Firefighter'S Pension Fund,491120.04,701759.33,Will
2016,fire,Win-Bur-Sew FPD Firefighters Pension Fund,338957.6,767532.58,Winnebago
2016,fire,Winfield FPD Firefighters Pension Fund,4805376.08,4747063.77,DuPage
2016,fire,Winnetka Firefighters Pension Fund,25852703.08,38062210.6,Cook
2016,fire,Wood Dale FPD Firefighters Pension Fund,13691603.7,35579319.71,DuPage
2016,fire,Wood River Firefighters Pension Fund,5612256.81,9165367.57,Madison
2016,fire,Woodstock Fire/Rescue Dist. Firefighters' Pension,7521921.44,11957962.76,McHenry
2016,fire,Worth Firefighters Pension Fund,2875727.97,3964685.19,Cook
2016,fire,York Center Fire Protection District,917915.83,1261149.71,DuPage
2016,fire,Zion Firefighters Pension Fund,16297268.8,29908121.51,Lake
2016,police,Addison Police Pension Fund,42070048.14,72984418.63,DuPage
2016,police,Algonquin Police Pension Fund,23643026.7,36010869.74,Kane
2016,police,Alsip Police Pension Fund,19148170.87,51667737.29,Cook
2016,police,Alton Police Pension Fund,22671001.77,70005818.34,Madison
2016,police,Anna Police Pension Fund,2370634.14,5225041.25,Union
2016,police,Antioch Police Pension Fund,8540420.9,25708855.4,Lake
2016,police,Arlington Heights Police Pension Fund,116758877.5,147102945.4,Cook
2016,police,Aurora Police Pension Fund,195962037.5,355153418.5,DuPage
2016,police,Barrington Hills Police Pension Fund,9721799.08,15411708.38,Cook
2016,police,Barrington Police Pension Fund,19767323.21,35695497.91,Cook
2016,police,Bartlett Police Pension Fund,36599607.53,45452193.07,Cook
2016,police,Bartonville Police Pension Fund,3328713.27,3796358.46,Peoria
2016,police,Batavia Police Pension Fund,29496366.41,50365695.69,DuPage
2016,police,Beardstown Police Pension Fund,1544924.05,3094972.67,Cass
2016,police,Belleville Police Pension Fund,37030682.59,69663910.74,St. Clair
2016,police,Bellwood Police Pension Fund,30880565.3,50121882.86,Cook
2016,police,Belvidere Police Pension Fund,19804928.27,29785529.11,Boone
2016,police,Bensenville Police Pension Fund,18350879.38,32501894.68,DuPage
2016,police,Benton Police Pension Fund,2765879.89,5511403.89,Franklin
2016,police,Berkeley Police Pension Fund,8197318.12,14062785.57,Cook
2016,police,Berwyn Police Pension Fund,80661928.16,113733550.9,Cook
2016,police,Bethalto Police Pension Fund,6902951.89,11596351.52,Madison
2016,police,Bloomingdale Police Pension Fund,30783990.55,53641077.46,DuPage
2016,police,Bloomington Police Pension Fund,66521414.48,125765291.1,McLean
2016,police,Blue Island Police Pension Fund,11061696.01,36452921.44,Cook
2016,police,Bolingbrook Police Pension Fund,60355528.74,112018225.4,DuPage
2016,police,Bourbonnais Police Pension Fund,12632163.99,17259626,Kankakee
2016,police,Bradley Police Pension Fund,15376187.29,23822338.96,Kankakee
2016,police,Braidwood Police Pension Fund,3602501.51,6082078.49,Will
2016,police,Bridgeview Police Pension Fund,22248389.81,41846434.75,Cook
2016,police,Broadview Police Pension Fund,26024205.87,38467068.04,Cook
2016,police,Brookfield Police Pension Fund,16515379.37,32930495.4,Cook
2016,police,Buffalo Grove Police Pension Fund,61896799.91,88026160.14,Cook
2016,police,Burbank Police Pension Fund,38494104.81,54735712.6,Cook
2016,police,Burnham Police Pension Fund,1969069.62,7350309.61,Cook
2016,police,Burr Ridge Police Pension Fund,16074961.54,23042216.35,DuPage
2016,police,Cahokia Police Pension Fund,15206444.69,23105673.46,St. Clair
2016,police,Cairo Police Pension Fund,1208974.04,5453762.89,Alexander
2016,police,Calumet City Police Pension Fund,49328350.5,90531237.46,Cook
2016,police,Calumet Park Police Pension Fund,8086270.83,16691643.46,Cook
2016,police,Campton Hills Police Pension Fund,1552873.25,1836852.75,Kane
2016,police,Canton Police Pension Fund,15391357.62,19895861.23,Fulton
2016,police,Carbondale Police Pension Fund,23741438.39,47760209.67,Jackson
2016,police,Carlinville Police Pension Fund,3905853.94,6945146.34,Macoupin
2016,police,Carmi Police Pension Fund,3468909.77,7567159.37,White
2016,police,Carol Stream Police Pension Fund,44143735.04,63060759.7,DuPage
2016,police,Carpentersville Police Pension Fund,38002406.74,64580580.45,Kane
2016,police,Carterville Police Pension Fund,512240.79,1427695.6,Williamson
2016,police,Cary Police Pension Fund,10110247.92,19644387.17,McHenry
2016,police,Caseyville Police Pension Fund,2480923.63,4527265.72,St. Clair
2016,police,Centralia Police Pension Fund,10393753.63,20720289.57,Clinton
2016,police,Centreville Police Pension Fund,1012124.67,3901748,St. Clair
2016,police,Champaign Police Pension Fund,93737283,119308752,Champaign
